Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
bedroom,Eastasians,55,15,250,slow,none,0.000701264,Blink
laboratory,African,60,25,50,normal,tinted,0.000690302,Blink
bedroom,Southasians,55,15,1450,slow,none,0.000809496,Blink
TV,Eastasians,60,5,1450,slow,eyesight,0.000722297,Blink
laboratory,Southasians,50,10,450,slow,eyesight,0.000761768,Blink
TV,African,50,10,450,normal,eyesight,0.000787139,Blink
bedroom,Easterneuropeans,53,5,1250,normal,eyesight,0.000702888,Blink
TV,African,55,0,600,normal,none,0.000862301,Blink
TV,Easterneuropeans,50,10,150,slow,metal,0.000867734,Blink
TV,Eastasians,54,25,450,fast,none,0.000651227,Blink
bedroom,Southasians,55,0,1250,slow,none,0.000784749,Blink
TV,Easterneuropeans,62,15,30,slow,eyesight,0.000762874,Blink
laboratory,Easterneuropeans,55,10,30,slow,eyesight,0.00082763,Blink
laboratory,Southasians,65,60,50,fast,eyesight,0.000709556,Blink
laboratory,African,70,0,150,slow,polarized,0.000776931,Blink
bedroom,Southasians,55,0,30,fast,none,0.000779957,Blink
bedroom,Eastasians,60,15,50,slow,polarized,0.000705254,Blink
bedroom,Southasians,50,0,30,slow,eyesight,0.00087199,Blink
laboratory,African,60,10,600,normal,tinted,0.000718381,Blink
bedroom,African,55,5,1450,slow,metal,0.000706827,Blink
bedroom,Easterneuropeans,50,35,250,slow,none,0.000871092,Blink
laboratory,African,65,10,30,slow,none,0.000742061,Blink
laboratory,African,50,5,1250,fast,eyesight,0.000792148,Blink
TV,Eastasians,55,0,30,normal,metal,0.000708129,Blink
laboratory,African,50,5,1000,normal,tinted,0.000779825,Blink
laboratory,Easterneuropeans,50,10,30,fast,none,0.000870737,Blink
TV,Eastasians,50,10,600,slow,eyesight,0.000780927,Blink
laboratory,Easterneuropeans,55,25,250,slow,none,0.00086011,Blink
bedroom,Southasians,60,5,1250,normal,polarized,0.000812826,Blink
laboratory,Southasians,75,10,1250,normal,none,0.000711535,Blink
bedroom,Southasians,50,5,1450,normal,none,0.000781208,Blink
bedroom,Eastasians,50,25,600,slow,none,0.0007296,Blink
laboratory,Eastasians,50,20,50,slow,polarized,0.000700077,Blink
bedroom,Eastasians,65,5,1450,fast,polarized,0.000733349,Blink
TV,Southasians,70,0,150,normal,none,0.000785873,Blink
bedroom,Eastasians,50,10,1250,fast,none,0.000828285,Blink
bedroom,Southasians,55,25,30,slow,eyesight,0.000788362,Blink
TV,Easterneuropeans,50,0,150,normal,none,0.000823056,Blink
TV,African,50,15,1250,normal,eyesight,0.000758394,Blink
TV,Eastasians,50,0,1250,slow,none,0.000710937,Blink
TV,African,50,15,1450,slow,none,0.00084682,Blink
TV,Easterneuropeans,55,15,30,slow,none,0.000862699,Blink
laboratory,Southasians,75,10,250,fast,polarized,0.000765629,Blink
TV,Eastasians,55,35,600,fast,eyesight,0.000770415,Blink
laboratory,Southasians,50,0,1450,slow,eyesight,0.000777833,Blink
laboratory,African,50,5,250,normal,none,0.000804981,Blink
bedroom,African,60,5,1000,normal,none,0.000874876,Blink
bedroom,Easterneuropeans,60,60,1000,slow,tinted,0.000729824,Blink
laboratory,African,55,5,50,slow,none,0.00087034,Blink
bedroom,African,55,0,150,slow,eyesight,0.000754656,Blink
laboratory,Southasians,50,0,250,fast,eyesight,0.000701468,Blink
TV,African,50,0,1000,slow,tinted,0.000773368,Blink
TV,African,50,15,1450,slow,polarized,0.000792172,Blink
TV,Eastasians,50,10,50,normal,none,0.000757536,Blink
bedroom,Southasians,50,10,1000,slow,none,0.000841444,Blink
laboratory,Southasians,55,15,250,normal,polarized,0.000823346,Blink
TV,African,50,20,1450,slow,tinted,0.000775747,Blink
bedroom,Southasians,61,15,150,slow,eyesight,0.000756854,Blink
bedroom,Easterneuropeans,50,0,450,normal,none,0.000768573,Blink
laboratory,Southasians,55,0,150,normal,none,0.000780153,Blink
bedroom,Easterneuropeans,55,5,50,normal,eyesight,0.000852031,Blink
TV,African,50,0,1250,slow,none,0.000847561,Blink
bedroom,Eastasians,65,35,1450,slow,none,0.000733013,Blink
bedroom,Southasians,55,5,250,normal,eyesight,0.000792286,Blink
TV,Easterneuropeans,60,5,150,normal,none,0.000777993,Blink
TV,Easterneuropeans,50,0,1250,slow,none,0.00080158,Blink
bedroom,Easterneuropeans,50,15,450,normal,eyesight,0.000807081,Blink
TV,African,50,0,600,slow,metal,0.000701768,Blink
laboratory,Easterneuropeans,55,0,50,normal,none,0.000806241,Blink
bedroom,Easterneuropeans,62,5,50,slow,none,0.000762171,Blink
TV,Southasians,55,10,250,normal,polarized,0.000798853,Blink
TV,Southasians,70,0,1000,normal,none,0.00076008,Blink
bedroom,African,50,20,30,slow,eyesight,0.000840851,Blink
laboratory,African,65,5,1000,fast,tinted,0.000701003,Blink
TV,Southasians,55,10,600,normal,none,0.000849617,Blink
bedroom,African,55,45,1450,slow,eyesight,0.000772467,Blink
TV,Easterneuropeans,55,15,1000,slow,none,0.000828855,Blink
laboratory,Southasians,55,5,1450,normal,none,0.000840953,Blink
TV,African,75,0,150,slow,eyesight,0.000702367,Blink
bedroom,Easterneuropeans,55,0,1450,normal,none,0.000871404,Blink
bedroom,African,65,10,150,fast,none,0.000752797,Blink
laboratory,African,50,5,50,slow,polarized,0.000745199,Blink
laboratory,Easterneuropeans,50,15,1000,fast,none,0.000723052,Blink
bedroom,Easterneuropeans,55,20,250,fast,eyesight,0.000700325,Blink
TV,Southasians,50,0,1450,slow,tinted,0.000722422,Blink
TV,African,50,0,600,slow,metal,0.000706598,Blink
bedroom,Easterneuropeans,50,5,150,normal,eyesight,0.00078179,Blink
bedroom,Easterneuropeans,51,15,50,slow,polarized,0.000780652,Blink
TV,Southasians,64,0,450,normal,none,0.00077923,Blink
TV,Southasians,55,10,600,slow,eyesight,0.000719383,Blink
laboratory,African,55,0,50,slow,none,0.000865239,Blink
TV,Easterneuropeans,60,45,250,normal,none,0.000702888,Blink
TV,Southasians,50,10,450,normal,eyesight,0.000809158,Blink
laboratory,Southasians,55,15,30,normal,eyesight,0.000753611,Blink
laboratory,Southasians,55,15,250,normal,none,0.000806317,Blink
bedroom,Southasians,50,5,1450,normal,none,0.000864297,Blink
bedroom,Easterneuropeans,55,15,30,normal,none,0.000869502,Blink
bedroom,African,50,20,450,normal,none,0.000810985,Blink
bedroom,Easterneuropeans,50,5,1000,slow,none,0.00083306,Blink
