Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
1,3,55,15,250,0,0,0.000701264,1
0,2,60,25,50,1,3,0.000690302,1
1,0,55,15,1450,0,0,0.000809496,1
2,3,60,5,1450,0,1,0.000722297,1
0,0,50,10,450,0,1,0.000761768,1
2,2,50,10,450,1,1,0.000787139,1
1,1,53,5,1250,1,1,0.000702888,1
2,2,55,0,600,1,0,0.000862301,1
2,1,50,10,150,0,4,0.000867734,1
2,3,54,25,450,2,0,0.000651227,1
1,0,55,0,1250,0,0,0.000784749,1
2,1,62,15,30,0,1,0.000762874,1
0,1,55,10,30,0,1,0.00082763,1
0,0,65,60,50,2,1,0.000709556,1
0,2,70,0,150,0,2,0.000776931,1
1,0,55,0,30,2,0,0.000779957,1
1,3,60,15,50,0,2,0.000705254,1
1,0,50,0,30,0,1,0.00087199,1
0,2,60,10,600,1,3,0.000718381,1
1,2,55,5,1450,0,4,0.000706827,1
1,1,50,35,250,0,0,0.000871092,1
0,2,65,10,30,0,0,0.000742061,1
0,2,50,5,1250,2,1,0.000792148,1
2,3,55,0,30,1,4,0.000708129,1
0,2,50,5,1000,1,3,0.000779825,1
0,1,50,10,30,2,0,0.000870737,1
2,3,50,10,600,0,1,0.000780927,1
0,1,55,25,250,0,0,0.00086011,1
1,0,60,5,1250,1,2,0.000812826,1
0,0,75,10,1250,1,0,0.000711535,1
1,0,50,5,1450,1,0,0.000781208,1
1,3,50,25,600,0,0,0.0007296,1
0,3,50,20,50,0,2,0.000700077,1
1,3,65,5,1450,2,2,0.000733349,1
2,0,70,0,150,1,0,0.000785873,1
1,3,50,10,1250,2,0,0.000828285,1
1,0,55,25,30,0,1,0.000788362,1
2,1,50,0,150,1,0,0.000823056,1
2,2,50,15,1250,1,1,0.000758394,1
2,3,50,0,1250,0,0,0.000710937,1
2,2,50,15,1450,0,0,0.00084682,1
2,1,55,15,30,0,0,0.000862699,1
0,0,75,10,250,2,2,0.000765629,1
2,3,55,35,600,2,1,0.000770415,1
0,0,50,0,1450,0,1,0.000777833,1
0,2,50,5,250,1,0,0.000804981,1
1,2,60,5,1000,1,0,0.000874876,1
1,1,60,60,1000,0,3,0.000729824,1
0,2,55,5,50,0,0,0.00087034,1
1,2,55,0,150,0,1,0.000754656,1
0,0,50,0,250,2,1,0.000701468,1
2,2,50,0,1000,0,3,0.000773368,1
2,2,50,15,1450,0,2,0.000792172,1
2,3,50,10,50,1,0,0.000757536,1
1,0,50,10,1000,0,0,0.000841444,1
0,0,55,15,250,1,2,0.000823346,1
2,2,50,20,1450,0,3,0.000775747,1
1,0,61,15,150,0,1,0.000756854,1
1,1,50,0,450,1,0,0.000768573,1
0,0,55,0,150,1,0,0.000780153,1
1,1,55,5,50,1,1,0.000852031,1
2,2,50,0,1250,0,0,0.000847561,1
1,3,65,35,1450,0,0,0.000733013,1
1,0,55,5,250,1,1,0.000792286,1
2,1,60,5,150,1,0,0.000777993,1
2,1,50,0,1250,0,0,0.00080158,1
1,1,50,15,450,1,1,0.000807081,1
2,2,50,0,600,0,4,0.000701768,1
0,1,55,0,50,1,0,0.000806241,1
1,1,62,5,50,0,0,0.000762171,1
2,0,55,10,250,1,2,0.000798853,1
2,0,70,0,1000,1,0,0.00076008,1
1,2,50,20,30,0,1,0.000840851,1
0,2,65,5,1000,2,3,0.000701003,1
2,0,55,10,600,1,0,0.000849617,1
1,2,55,45,1450,0,1,0.000772467,1
2,1,55,15,1000,0,0,0.000828855,1
0,0,55,5,1450,1,0,0.000840953,1
2,2,75,0,150,0,1,0.000702367,1
1,1,55,0,1450,1,0,0.000871404,1
1,2,65,10,150,2,0,0.000752797,1
0,2,50,5,50,0,2,0.000745199,1
0,1,50,15,1000,2,0,0.000723052,1
1,1,55,20,250,2,1,0.000700325,1
2,0,50,0,1450,0,3,0.000722422,1
2,2,50,0,600,0,4,0.000706598,1
1,1,50,5,150,1,1,0.00078179,1
1,1,51,15,50,0,2,0.000780652,1
2,0,64,0,450,1,0,0.00077923,1
2,0,55,10,600,0,1,0.000719383,1
0,2,55,0,50,0,0,0.000865239,1
2,1,60,45,250,1,0,0.000702888,1
2,0,50,10,450,1,1,0.000809158,1
0,0,55,15,30,1,1,0.000753611,1
0,0,55,15,250,1,0,0.000806317,1
1,0,50,5,1450,1,0,0.000864297,1
1,1,55,15,30,1,0,0.000869502,1
1,2,50,20,450,1,0,0.000810985,1
1,1,50,5,1000,0,0,0.00083306,1
2,0,55,10,150,1,1,0.000832339,1
0,1,55,0,450,0,0,0.000822173,1
1,1,50,10,250,0,1,0.000793994,1
1,2,50,15,1250,1,2,0.000777051,1
2,0,60,10,250,1,0,0.000836282,1
1,0,55,5,30,0,1,0.000807568,1
0,0,55,0,250,1,0,0.000801919,1
2,0,50,10,30,0,1,0.000786374,1
2,1,50,0,150,1,0,0.00087172,1
2,2,50,15,1250,1,2,0.000857264,1
0,1,60,0,600,1,0,0.000852959,1
1,0,55,5,1250,1,0,0.000859525,1
2,2,50,0,50,0,1,0.000819009,1
2,0,65,5,150,1,0,0.000711129,1
0,2,50,15,600,0,1,0.000746509,1
1,2,55,15,50,1,2,0.00070566,1
2,0,55,5,450,0,0,0.000839846,1
1,1,50,10,150,1,2,0.000773587,1
0,1,55,5,30,1,2,0.0007094,1
1,2,55,10,600,1,0,0.00081242,1
2,2,55,0,450,1,0,0.000863497,1
2,1,55,10,250,0,1,0.000807338,1
2,0,50,0,1250,0,1,0.00086803,1
2,0,55,0,450,0,2,0.000707696,1
0,2,55,25,1250,1,0,0.000702773,1
2,2,60,20,30,0,0,0.000706084,1
0,1,50,10,50,1,0,0.00081412,1
0,2,55,10,150,0,0,0.000869761,1
1,1,50,25,30,0,1,0.000764773,1
2,2,50,0,450,0,1,0.000749213,1
1,0,50,10,30,1,0,0.000845527,1
2,1,55,15,1250,1,1,0.000757943,1
2,0,50,15,30,1,0,0.000868038,1
2,2,55,5,1450,0,0,0.000791889,1
0,0,50,0,450,1,0,0.000852784,1
0,0,60,0,50,1,0,0.000843799,1
0,0,50,5,1000,0,2,0.000708918,1
2,3,50,0,250,0,0,0.000872579,1
1,0,60,5,50,0,1,0.000790428,1
0,0,60,15,250,1,1,0.000772841,1
1,2,50,20,1000,1,0,0.000825264,1
0,1,55,10,1000,1,1,0.000768771,1
2,2,50,0,1450,1,0,0.000867427,1
0,2,55,5,50,0,0,0.000801392,1
2,2,55,5,30,0,1,0.000817626,1
0,3,55,15,250,1,0,0.000728686,1
2,1,50,10,1000,1,1,0.000756182,1
0,0,50,0,30,1,1,0.000834483,1
2,1,55,0,600,0,0,0.000849053,1
1,0,50,5,1450,0,1,0.000847253,1
2,2,55,0,50,1,4,0.000709285,1
1,0,60,0,1000,0,1,0.00070176,1
2,0,60,0,450,1,0,0.000715416,1
1,0,55,0,600,0,1,0.000806511,1
2,1,50,10,600,1,0,0.000829906,1
2,2,50,5,50,0,0,0.000799426,1
2,0,55,0,50,0,1,0.000856176,1
1,2,55,10,150,0,1,0.000779862,1
1,1,50,0,1000,0,1,0.000858404,1
2,0,55,5,30,1,1,0.000795087,1
0,0,55,10,150,0,1,0.000798244,1
2,0,50,5,30,0,2,0.000702192,1
0,0,60,0,30,1,0,0.000758071,1
2,2,50,15,1450,0,1,0.000858227,1
0,0,55,0,600,2,2,0.000760789,1
1,1,60,5,450,0,0,0.000800526,1
2,0,60,20,30,2,0,0.000841026,1
2,3,50,10,30,0,0,0.000725677,1
1,2,50,0,250,1,4,0.000707136,1
2,0,50,0,30,1,3,0.000715199,1
1,2,50,0,1000,1,0,0.000838019,1
0,1,55,5,1250,0,2,0.000740692,1
2,1,55,15,450,1,0,0.000858402,1
